date,northern_flow,sjr_flow,exports,dxc,net_delta_cu,daily_max-min,sjr_vernalis_ec,sac_greens_ec
3/19/2015,7840.41,482,1881,0,1621.12,5.4,631,216
3/20/2015,7404.88,452,1780,0,1290.63,5.1,718,215
3/21/2015,7565.07,433,1790,0,1325.86,5.3,738,218
3/22/2015,7097.31,447,1814,0,779.62,5.6,698,221
3/23/2015,7276.47,460,1817,0,727.74,5.7,732,215
3/24/2015,7250.27,466,1803,0,1005.66,5.6,773,198
3/25/2015,7329.49,448,1789,0,1271.37,5.4,716,207
3/26/2015,7223.03,651,1712,0,1627.01,5.2,336,209
3/27/2015,6603.73,999,1801,0,1544.6,4.9,202,211
3/28/2015,6974.75,1188,1483,0,1587.08,4.7,198,208
3/29/2015,6277.29,1280,1712,0,1664.6,4.5,247,215
3/30/2015,6169.16,1207,1812,0,1627.35,4.4,376,224
3/31/2015,6203.8,1060,1777,0,1219.15,4.3,406,211
4/1/2015,6352.56,880,1623,0,1417.62,4.3,361,206
4/2/2015,6455.97,763,1623,0,1552.46,4.3,301,215
4/3/2015,5957.38,645,1312,0,1725.06,4.4,296,219
4/4/2015,6150,546,1658,0,1566.84,4.7,339,217
4/5/2015,6956.69,580,1609,0,720.51,4.7,265,212
4/6/2015,7490.73,815,1364,0,1249.72,5,191,207
4/7/2015,7400.48,1092,1530,0,-91.83,5.2,99,204
4/8/2015,8821.58,975,1526,0,1209.57,5.2,129,199
4/9/2015,7586.58,849,1525,0,1476.58,5.1,153,184
4/10/2015,7227.57,810,1518,0,1443.4,5,163,195
4/11/2015,7080.66,807,1590,0,1338.81,4.8,164,201
4/12/2015,6996.21,829,1503,0,2165.8,4.8,167,199
4/13/2015,6064.28,1186,1506,0,1910.5,4.8,116,197
4/14/2015,7114.16,1433,1433,0,1551.13,4.8,114,198
4/15/2015,6902.24,1368,1762,0,1933.07,5.1,136,198
4/16/2015,5887.33,1279,1786,0,2212.22,5.2,142,206
4/17/2015,5826.7,1264,1693,0,2296.15,5.4,149,208
4/18/2015,5476.49,1277,1403,0,2267.57,5.7,184,212
4/19/2015,5486.68,1193,1707,0,2277.26,5.9,203,214
4/20/2015,6130.57,1052,1654,0,1798.93,6.1,219,202
4/21/2015,6031.82,907,1589,0,1523.98,5.9,247,202
4/22/2015,6212.53,769,1653,0,1893.44,5.9,288,196
4/23/2015,5274.57,642,1518,0,1978.98,5.4,352,195
4/24/2015,5193.8,577,1425,0,1201.88,4.9,408,197
4/25/2015,6358.68,536,1411,0,776.26,4.5,421,190
4/26/2015,7317.52,505,1616,0,2069.87,4.4,440,180
4/27/2015,6828.74,488,1377,0,2429.23,4.4,446,169
4/28/2015,6205.42,457,1649,0,2242.67,4.3,463,174
4/29/2015,6787.54,444,1568,0,2158.23,4.2,438,174
4/30/2015,6838.94,396,1901,0,2623.86,4.4,484,169
5/1/2015,6113.01,387,1434,0,3036.62,4.8,506,166
5/2/2015,5729.13,392,1429,0,2636.13,4.9,449,167
5/3/2015,5762.14,397,1780,0,2161.77,5,439,164
5/4/2015,6304.15,420,658,0,2093.46,5.3,431,167
5/5/2015,6606.79,411,330,0,2225.18,5.6,456,163
5/6/2015,6491.19,408,668,0,2340.12,5.8,502,167
5/7/2015,7087.26,399,252,0,1494.64,5.7,446,165
5/8/2015,6927.62,405,719,0,2160.71,5.5,475,161
5/9/2015,6915.74,452,387,0,2239.83,5.2,432,157
5/10/2015,6574.93,458,794,0,2361.8,4.9,412,151
5/11/2015,6552.73,449,494,0,2109.06,4.8,409,150
5/12/2015,7037.61,401,963,0,1926.95,4.8,461,153
5/13/2015,6811.72,377,638,0,1890.67,4.8,501,148
5/14/2015,7384.29,409,918,0.57,1410.59,4.9,495,148
5/15/2015,7276.32,413,532,1,2015.66,5.4,532,151
5/16/2015,7601.94,408,943,1,2229.23,5.8,503,152
5/17/2015,7556.74,440,497,1,1967.96,6,443,152
5/18/2015,7683.53,467,856,0.41,1940.64,6.2,444,153
5/19/2015,8101.92,450,718,0,2337.62,6.3,506,154
5/20/2015,8028.31,422,590,0,2193.17,6.2,538,153
5/21/2015,8355.44,384,689,0,2099.68,5.9,568,153
5/22/2015,8134.05,385,687,0.59,2117.17,5.5,625,164
5/23/2015,8232.59,386,826,1,2127.97,5,620,164
5/24/2015,7898.36,411,824,1,2587.72,4.4,599,158
5/25/2015,7955.27,435,769,1,2296.67,4.3,539,155
5/26/2015,7530.36,422,1100,0.41,2328.46,4.2,578,163
5/27/2015,7360.77,385,1320,0,2546.97,4.1,690,172
5/28/2015,7088.55,331,1636,0,2771.42,4.2,776,171
5/29/2015,6939.91,323,873,0.61,2918.13,4.6,646,163
5/30/2015,6719.44,254,1568,1,3073.71,5.1,583,158
5/31/2015,6138.16,281,1320,1,2324.38,5.5,497,160
6/1/2015,6860.13,320,1333,0.42,2347.08,5.6,510,165
6/2/2015,6807.55,319,535,0,2676.54,6,583,163
6/3/2015,6729.3,294,1031,0,2545.16,6.2,622,166
6/4/2015,7275.66,250,437,0,2936.15,6.1,596,165
6/5/2015,7194.19,216,947,0.58,3170.69,6,723,161
6/6/2015,7049.07,228,502,1,2962.21,5.7,788,161
6/7/2015,7405.7,260,975,1,3498.31,5.3,693,157
6/8/2015,7096.22,272,470,0.42,3942.67,5,660,158
6/9/2015,6377.49,238,1030,0,2813.72,4.9,686,169
6/10/2015,7024.62,201,523,0,936.13,5,700,167
6/11/2015,6464.73,180,1128,0,3309.82,4.8,703,161
6/12/2015,6496.93,183,485,0,3749.6,5.4,736,162
6/13/2015,6029.96,174,961,0.63,3378.83,5.8,619,161
6/14/2015,6143.77,166,507,1,2959.37,5.9,676,165
6/15/2015,6415.06,158,1026,0.41,3061.49,6.1,690,174
6/16/2015,6585.6,147,589,0.58,3609.43,6.4,809,173
6/17/2015,6446.61,153,989,1,3763.82,6.2,773,164
6/18/2015,6689.98,168,608,1,3419.67,6,671,159
6/19/2015,6825.48,175,865,1,3711.56,5.8,634,158
6/20/2015,6539.61,166,683,1,3835.65,5.2,718,157
6/21/2015,6493.28,156,682,1,3044.54,4.9,666,154
6/22/2015,7036.37,156,646,1,3421.73,4.6,681,152
6/23/2015,6687.66,130,494,0.42,3700.14,4.4,752,150
6/24/2015,6674.71,112,533,0,3775.11,4.2,754,149
6/25/2015,6790.84,125,481,0,4105.31,3.9,579,148
6/26/2015,6677.76,144,570,0.49,4078.78,4.4,613,149
6/27/2015,6430.61,117,711,1,3052.35,4.7,731,150
6/28/2015,6479.67,142,801,1,3100.02,5.2,686,154
6/29/2015,7076.92,163,735,1,3759.99,5.7,652,152
6/30/2015,7268.07,177,813,1,4332.27,6.1,544,147
7/1/2015,7208.55,137,622,1,3948.1,6.3,577,146
7/2/2015,6892.15,130,727,1,3352.24,6.3,699,144
7/3/2015,7147.98,130,719,1,3688.29,6.2,873,142
7/4/2015,7022.14,130,717,1,3745.38,6.1,771,139
7/5/2015,6858.14,145,712,1,2783.81,5.7,681,137
7/6/2015,7478.75,140,708,1,3204.92,5.3,738,133
7/7/2015,7274.88,130,845,1,2809.65,5.1,871,132
7/8/2015,7040.43,130,866,1,2692.39,4.9,980,133
7/9/2015,7617.03,157,697,1,2196.68,4.6,655,131
7/10/2015,7960.35,149,676,1,2344,4.9,585,130
7/11/2015,7723.91,151,661,1,2989.07,5.4,570,132
7/12/2015,7995.24,162,662,1,2773.93,5.6,570,133
7/13/2015,8319.29,134,662,1,3380.53,6,555,135
7/14/2015,8080.57,130,666,1,3204.35,6.1,532,134
7/15/2015,8046.24,130,672,1,3741.62,6.1,519,136
7/16/2015,7900.72,130,675,1,3607.59,5.9,656,138
7/17/2015,8368.97,130,683,1,3765.33,5.6,780,139
7/18/2015,8331.91,130,687,1,3376.2,5.3,775,139
7/19/2015,8517.29,137,604,1,3621.43,5,751,131
7/20/2015,7500.31,149,741,0.45,3618.13,4.5,610,134
7/21/2015,7267.64,130,645,0,3187.61,4.3,826,139
7/22/2015,7018.4,130,411,0,2965.64,3.9,747,139
7/23/2015,7256.31,148,552,0,3060.72,3.8,553,138
7/24/2015,7200.72,169,743,0.48,3382.28,3.7,412,140
7/25/2015,7224.14,139,773,1,3365.72,4.3,535,144
7/26/2015,6800.98,133,701,1,3386.98,4.9,735,146
7/27/2015,7597.86,163,694,1,3704.88,5.3,802,145
7/28/2015,7483.88,124,697,1,4138.12,5.7,941,143
7/29/2015,7515.89,130,702,1,4183.8,5.9,871,145
7/30/2015,7562.44,130,701,1,3713.57,6.1,926,146
7/31/2015,7772.24,130,717,1,3111.19,6.2,708,145
8/1/2015,7585.18,151,715,1,3088.24,6,506,146
8/2/2015,7484.41,200,600,1,2925.38,5.8,359,141
8/3/2015,7521.79,208,815,1,2763.63,5.3,446,142
8/4/2015,7503.49,169,651,0.4,2427.66,5.1,539,144
8/5/2015,7772.88,170,683,0,3397.19,5,554,147
8/6/2015,7668.57,159,686,0,2888.06,4.7,656,146
8/7/2015,7737.46,173,742,0.46,2855.36,4.9,687,148
8/8/2015,7701.06,162,697,1,2828.95,5.1,684,148
8/9/2015,7676.08,176,683,1,3347.84,5.4,607,147
8/10/2015,7425.62,172,748,1,2954.07,5.5,611,152
8/11/2015,7663.43,142,792,0.41,3013.16,5.5,683,163
8/12/2015,8022.84,173,703,0,3070.68,5.6,490,166
8/13/2015,8025.9,161,707,0,2926.27,5.6,486,164
8/14/2015,7907.05,153,615,0.49,2990.11,5.5,496,165
8/15/2015,7667.05,168,619,1,3563.27,5.2,524,176
8/16/2015,7141.16,200,769,1,3732.71,4.9,528,161
8/17/2015,6705.28,201,610,1,3736.21,4.5,584,162
8/18/2015,5994.51,159,1109,1,3255.37,4.2,651,176
8/19/2015,6252.29,145,1089,1,2838.81,3.9,634,176
8/20/2015,6455.67,110,1062,1,2539.48,3.8,739,177
8/21/2015,6215.19,136,1033,1,2800.65,3.7,580,178
8/22/2015,6721.21,158,1034,1,2881.27,4,447,183
8/23/2015,7022.33,198,1017,1,2718.29,4.2,416,176
8/24/2015,7594.46,216,1109,1,2925.05,4.7,356,164
8/25/2015,8374.26,198,1526,1,3110.4,5.3,420,161
8/26/2015,8326.93,180,1895,1,3264.97,5.5,460,175
8/27/2015,8674.63,151,1983,1,3291.18,5.8,531,220
8/28/2015,8905.87,108,2634,1,3239.3,5.9,754,201
8/29/2015,9160.67,113,4602,1,2211.6,5.7,750,209
8/30/2015,9444.49,130,4810,1,2515.99,5.6,798,213
8/31/2015,9214.52,190,4608,1,2850.54,5.2,597,209
9/1/2015,8840.62,215,4171,1,2952.36,5.1,564,208
9/2/2015,8638.53,244,2958,1,2604.83,4.9,551,206
9/3/2015,8756.66,202,2865,1,2376.23,4.9,603,209
9/4/2015,8429.8,206,2904,1,2489.18,4.8,609,201
9/5/2015,8764.21,220,2935,1,2594.29,4.8,565,202
9/6/2015,8557.67,238,2842,1,2806.8,5.1,489,196
9/7/2015,8474.24,233,2950,1,2952.1,5.1,483,200
9/8/2015,8482.53,251,2934,1,3055.18,5.2,518,204
9/9/2015,8454.71,194,2736,1,3117.42,5.1,591,196
9/10/2015,8393.05,185,2901,1,3056.26,5,602,193
9/11/2015,8279.12,219,2688,1,2746.16,4.9,486,187
9/12/2015,8192.11,245,2748,1,1964.73,4.7,548,187
9/13/2015,8027.15,281,2466,1,2224.23,4.4,589,180
9/14/2015,7990.48,351,2527,1,1889.39,4.1,548,179
9/15/2015,8182.58,338,2622,1,1807.94,4,554,176
9/16/2015,8756.48,311,2386,1,1823.32,4.2,560,174
9/17/2015,8532.28,317,2299,1,1884.5,4.3,530,171
9/18/2015,8199.23,280,2342,1,2266.43,4.3,545,176
9/19/2015,8005.89,238,2308,1,2499.14,4.2,550,176
9/20/2015,7909.79,237,1603,1,2628.53,4.3,538,177
9/21/2015,7608.04,264,1588,1,2623.38,4.6,521,172
9/22/2015,7341.83,229,1237,1,2028.09,4.4,605,173
9/23/2015,8102.2,198,1210,1,2186.53,4.8,676,168
9/24/2015,7951.68,203,1222,1,2297.23,5.2,655,161
9/25/2015,7565.78,212,1225,1,2340.91,5.3,590,163
9/26/2015,7910.04,198,1243,1,2242.81,5.3,586,163
9/27/2015,7601.41,198,1220,1,1900.76,5,588,161
9/28/2015,7248.99,260,1233,1,1962.95,5.2,577,161
9/29/2015,7356.47,270,1153,1,1577.73,5.4,574,157
9/30/2015,7713.84,268,1230,1,1181.62,5.6,605,157
10/1/2015,7445.64,342,1135,1,1492.41,5.6,592,161
10/2/2015,7652.18,342,1132,1,2202.98,5.3,601,162
10/3/2015,6775.25,326,1096,1,1885.02,5.5,588,166
10/4/2015,7537.31,361,1238,1,1630.54,4.7,539,162
10/5/2015,7449.12,355,1114,1,1873.69,4.5,560,162
10/6/2015,7447.84,381,1204,1,1971.35,4.4,528,159
10/7/2015,7353.14,375,1120,1,2008.94,4.4,519,158
10/8/2015,7380.4,379,1218,1,2181.7,4.3,492,158
10/9/2015,7355.59,406,1265,1,2265.76,4.3,495,162
10/10/2015,6837.44,399,1296,1,2172.78,4.1,496,157
10/11/2015,7407.39,412,2219,1,2132.79,4.2,476,158
10/12/2015,7459.75,471,2304,1,2292.61,4.4,475,158
10/13/2015,7149.58,447,1755,1,2178.83,4.6,483,157
10/14/2015,6828.81,421,1764,1,2168.78,4.7,477,156
10/15/2015,7051.22,460,1948,1,1932.76,4.8,445,158
10/16/2015,7198.4,484,1936,1,1915.05,4.9,423,160
10/17/2015,7139.35,478,1879,1,1654.26,4.7,417,161
10/18/2015,7294.02,458,1388,1,1679.07,4.7,437,163
10/19/2015,7652.4,436,1025,1,1677.16,4.5,449,159
10/20/2015,7677.1,349,1173,1,1906.65,4.5,462,162
10/21/2015,7135.6,330,1121,1,1862.11,4.5,451,159
10/22/2015,7270.46,469,1355,1,1823.99,4.5,329,161
10/23/2015,7013.79,576,1333,1,1764.43,4.5,270,160
10/24/2015,6791.59,480,1098,1,1684.45,4.7,278,158.5
10/25/2015,6302.93,445,1378,1,1708.44,4.9,300,157
10/26/2015,6417.76,991,1318,1,1739.54,5.6,177,161
10/27/2015,6245.65,1412,1370,1,1384.34,5.9,188,163
10/28/2015,6199.86,1578,1219,1,1480.14,6.1,246,163
10/29/2015,6878.79,1606,1264,0.53,1658.38,6.1,242,166
10/30/2015,6511.24,1554,1248,0.51,1749,6,163,166
10/31/2015,6314.2,1490,1338,1,1763.65,5.7,159,164
11/1/2015,6668.57,1492,1886,1,2133.22,5,155,163
11/2/2015,6517.09,1876,1024,1,503.18,4.8,136,165
11/3/2015,7160.95,2032,1714,1,358.3,4.2,143,169
11/4/2015,7231.47,1971,3008,1,479.82,4.3,152,166
11/5/2015,6337.43,1820,3185,1,396.91,4.4,155,170
11/6/2015,5936.43,1593,3519,1,693.2,4.4,166,175
11/7/2015,5771.41,1168,3255,1,2541.7,4.1,174,176
11/8/2015,5628.13,1075,3086,1,2280.8,4.6,194,174
11/9/2015,6002.58,1008,3058,1,1504.08,4.8,211,177
11/10/2015,6807.17,957,2952,1,1588.82,5.2,229,172
11/11/2015,6880.27,868,2941,1,1655.02,5.4,244,167
11/12/2015,6586.02,787,2925,0.42,1673.99,5.4,273,167
11/13/2015,6464.22,723,3108,0.59,1775.54,5.5,295,172
11/14/2015,6134.05,693,2946,1,2428.69,5.4,325,181
11/15/2015,5709.08,691,2892,1,1999.43,5.5,338,179
11/16/2015,7772.59,676,2825,1,2270.9,5.2,347,181
11/17/2015,6512.26,657,2640,1,2354.04,4.9,355,182
11/18/2015,6280.21,633,2600,0.43,2431.29,4.9,365,183
11/19/2015,6366.29,633,2585,0,2335.56,4.7,367,188
11/20/2015,6179.19,626,2551,0.58,2587,4.8,374,190
11/21/2015,6174.99,614,2466,1,2605.52,4.7,381,184
11/22/2015,5767.28,621,1175,1,2558.48,4.9,388,186
11/23/2015,5535.81,609,1208,1,2545.14,5.5,394,185
11/24/2015,5696.1,603,1120,1,2041.53,6.1,394,194
11/25/2015,6688.21,610,1114,1,2267.41,6.4,391,188
11/26/2015,6593.92,632,1143,1,2251.08,6.4,395,187
11/27/2015,6584.05,631,1146,1,2322.7,6.3,417,190
11/28/2015,6369.55,614,1144,1,2278.46,6,440,186
11/29/2015,6395.95,626,1142,1,2436.28,5.6,433,180
11/30/2015,6655.05,629,1140,1,2400.2,5,427,179
12/1/2015,6726.21,622,1000,0.54,2366.04,4.4,432,169
12/2/2015,6974.17,600,655,0,2299.13,4.4,432,172
12/3/2015,6717.68,604,777,0,1902.73,4.5,426,173
12/4/2015,7913.29,604,1052,0.37,2137.29,4.1,451,173
12/5/2015,7885.8,604,661,1,2026.58,4,487,187
12/6/2015,7761.83,606,645,1,2061.04,4.5,517,173
12/7/2015,8146.98,609,638,1,2004.93,4.8,550,186
12/8/2015,8239.59,616,652,1,1984.39,5.3,556,191
12/9/2015,8456.57,616,641,1,2204.62,5.4,534,188
12/10/2015,7783.73,610,660,1,1601.53,5.7,507,174
12/11/2015,8577.58,625,656,1,1401.22,5.9,485,181
12/12/2015,9610.8,648,648,1,1479.9,5.9,486,181
12/13/2015,10126.91,651,646,1,418.41,6.2,491,182
12/14/2015,11458.41,651,698,1,296.2,5.8,491,186
12/15/2015,10288.05,658,670,0.45,720.8,5.4,489,192
12/16/2015,10976.02,665,694,0,1151.77,4.9,495,197
12/17/2015,9850.59,672,1050,0,1231.6,4.8,512,200
12/18/2015,8363.38,667,1211,0,1852.35,5,555,209
12/19/2015,8614.19,670,1364,0,1716.74,4.7,597,205
12/20/2015,9446.67,697,1506,0,1290.56,4.7,579,201
12/21/2015,13530.66,693,1311,0,31.36,5.2,555,205
12/22/2015,17326.07,711,3075,0,-184.66,6,627,190
12/23/2015,19159.63,828,4667,0,76.75,6.3,613,164
12/24/2015,24461.9,1254,5581,0,-248.82,6.6,461,158
12/25/2015,23850.73,1312,5851,0,270.34,6.7,378,148
12/26/2015,18657.34,1110,5604,0,1250.33,6.5,525,145
12/27/2015,13838.44,1045,6604,0,1531.2,6.1,568,174
12/28/2015,11932.77,997,6748,0,1312.07,5.6,486,179
12/29/2015,10904.06,952,6763,0,1696.27,5.1,536,181
12/30/2015,10104.35,908,6600,0,1784.51,4.7,541,194
12/31/2015,9197.19,869,5780,0,1906.32,4.4,557,205
